Date,Open,High,Low,Close,Adj Close,Volume
2011-11-29,73.584412,73.837540,72.187538,72.956284,50.059757,2834521
2011-11-30,72.937538,74.100037,72.037537,73.434410,50.387825,6656183
2011-12-01,74.484413,75.375038,73.640663,74.465660,51.095425,4850120
2011-12-02,74.812538,75.009415,73.762535,74.709412,51.262672,6193996
2011-12-05,74.484413,75.309410,73.725037,74.821915,51.339870,7774022
2011-12-07,75.000038,75.862534,74.062538,75.421913,51.751575,9380059
2011-12-08,75.187538,75.375038,73.265663,74.175034,50.896008,11394058
2011-12-09,73.303162,74.550034,72.403160,73.603165,50.503609,4706221
2011-12-12,74.250038,74.793785,72.937538,73.406288,50.368526,5456935
2011-12-13,72.393784,73.612534,72.393784,73.125038,50.175560,13287460
2011-12-14,72.703163,73.125038,69.431282,70.106285,48.104198,13915225
2011-12-15,68.840660,70.265663,68.475037,69.665657,47.801849,12936116
2011-12-16,70.500038,72.731285,69.000031,70.828163,48.599518,5109474
2011-12-19,70.125038,71.437538,68.662537,70.537537,48.400101,7242961
2011-12-20,71.437538,71.906288,70.312538,70.865662,48.625240,6602263
2011-12-21,72.187538,73.500038,70.687538,72.806290,49.956841,5006482
2011-12-22,72.750038,74.400040,72.206284,73.781288,50.625835,2803470
2011-12-23,73.818787,74.240662,72.778160,73.340660,50.323502,1516932
2011-12-26,73.462540,74.625038,72.600037,74.175034,50.896008,1048511
2011-12-27,74.512535,74.812538,72.590660,74.128159,50.863846,2748259
2011-12-28,74.400040,74.625038,72.918785,74.062538,50.818825,5001570
2011-12-29,73.987534,74.250038,70.706284,71.643784,49.159161,4480248
2011-12-30,71.756287,72.281288,70.537537,71.934410,49.358582,5332360
2012-01-02,72.000038,73.396912,71.437538,72.515663,49.757420,2905433
2012-01-03,72.937538,73.987534,72.440659,73.631287,50.522915,2682595
2012-01-04,73.331284,74.775040,72.750038,73.940659,50.735191,7517372
2012-01-05,74.053162,74.053162,71.071907,71.437538,49.017654,14660856
2012-01-06,71.203163,72.168785,69.750031,71.409409,48.998348,9812075
2012-01-07,null,null,null,null,null,null
2012-01-09,72.562538,73.125038,70.940659,71.371910,48.972618,7302700
2012-01-10,71.531288,72.075035,71.250038,71.400032,48.991913,6536322
